2026-03-17 10:00:13 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | root | 日志系统初始化完成
2026-03-17 10:00:13 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 应用启动事件执行中...
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | Celery 实例: bugseek
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | Broker URL: redis://localhost:6381/0
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | Result Backend: redis://localhost:6381/1
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 字段映射任务已注册: app.celery.tasks.execute_field_mapping_task
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 开始预热向量索引...
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 应用启动事件执行完成
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 提示: 请确保 Celery Worker 正在运行
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 启动命令: celery -A app.celery_config worker --loglevel=info --pool=solo
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | VectorIndexManager 单例初始化完成
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | [87ffc396e0bf47eda78c52838f2ce31d] 从缓存加载向量索引成功: 289 个列
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | [87ffc396e0bf47eda78c52838f2ce31d] 缓存 schema_hash: b49b286ec42229af0a21478cbeae2920
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | VectorIndexManager 缓存加载成功: 289 个列
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 数据库列向量索引已从缓存加载
2026-03-17 10:00:14 | WARNING | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | [87ffc396e0bf47eda78c52838f2ce31d] schema_hash 不匹配
2026-03-17 10:00:14 | WARNING | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | [87ffc396e0bf47eda78c52838f2ce31d]   缓存: b49b286ec42229af0a21478cbeae2920
2026-03-17 10:00:14 | WARNING | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | [87ffc396e0bf47eda78c52838f2ce31d]   当前: a98371ee9ec6949de2e216c129c4c14e
2026-03-17 10:00:14 | WARNING | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 检测到数据库结构变更，触发数据库列向量索引重建...
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.vector_index | [87ffc396e0bf47eda78c52838f2ce31d] 向量索引已存在，跳过构建: 289 个列
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 数据库列向量索引重建完成
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 开始 API 向量索引预热...
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 找到 2 个活跃项目
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.factory | 创建向量管理器: api
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.main | 为项目 1 (InvenTree) 构建 API 向量索引...
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.api_strategy | 从数据库加载 API 数据: 644 条记录
2026-03-17 10:00:14 | INFO | [87ffc396e0bf47eda78c52838f2ce31d] | app.platform.vector.api_strategy | 开始构建 API 向量索引: 644 条记录
